Sr.No.,Position,Name,Matches Played,Runs,Fours,Sixes,Strike Rate,Ground,Home Away,Result,50s,100s,Overall Average,Pitch,Opponent,Weather
1,1,RG Sharma,218,18,2,0,52.9,Trinidad,Away,1,42,27,48.53,Slow,West Indies,Hot and humid
2,2,S Dhawan,133,2,0,0,66.7,Trinidad,Away,0,27,17,44.5,Slow,West Indies,Hot and humid
3,3,V Kohli,239,120,14,1,96,Trinidad,Away,5,54,43,60.31,Slow,West Indies,Hot and humid
4,4,RR Pant,12,20,2,0,57.1,Trinidad,Away,1,0,0,22.9,Slow,West Indies,Hot and humid
5,5,SS Iyer,9,71,5,1,104.4,Trinidad,Away,4,4,0,49.43,Slow,West Indies,Hot and humid
6,6,KM Jadhav,68,16,2,0,114.3,Trinidad,Away,1,6,2,42.97,Slow,West Indies,Hot and humid
7,7,RA Jadeja,156,16,1,0,100,Trinidad,Away,1,11,0,30.84,Slow,West Indies,Hot and humid
8,8,B Kumar,114,1,0,0,50,Trinidad,Away,0,1,0,14.22,Slow,West Indies,Hot and humid
9,9,M Shami,70,3,0,0,60,Trinidad,Away,0,0,0,7.56,Slow,West Indies,Hot and humid
10,10,KK Ahmed,11,0,0,0,0,Trinidad,Away,0,0,0,4.5,Slow,West Indies,Hot and humid
11,11,YS Chahal,50,0,0,0,0,Trinidad,Away,0,0,0,7.8,Slow,West Indies,Hot and humid
12,1,RG Sharma,218,10,2,0,166.7,Trinidad,Away,1,42,27,48.53,Slow,West Indies,Hot and humid
13,2,S Dhawan,133,36,5,0,100,Trinidad,Away,2,27,17,44.5,Slow,West Indies,Hot and humid
14,3,V Kohli,239,115,14,0,115.2,Trinidad,Away,5,54,43,60.31,Slow,West Indies,Hot and humid
15,4,RR Pant,12,0,0,0,0,Trinidad,Away,0,0,0,22.9,Slow,West Indies,Hot and humid
16,5,SS Iyer,9,65,3,5,158.5,Trinidad,Away,3,4,0,49.43,Slow,West Indies,Hot and humid
17,6,KM Jadhav,68,19,1,1,158.3,Trinidad,Away,1,6,2,42.97,Slow,West Indies,Hot and humid
18,7,RA Jadeja,156,0,0,0,0,Trinidad,Away,0,11,0,30.84,Slow,West Indies,Hot and humid
19,8,B Kumar,114,0,0,0,0,Trinidad,Away,0,1,0,14.22,Slow,West Indies,Hot and humid
20,9,M Shami,70,0,0,0,0,Trinidad,Away,0,0,0,7.56,Slow,West Indies,Hot and humid
21,10,KK Ahmed,11,0,0,0,0,Trinidad,Away,0,0,0,4.5,Slow,West Indies,Hot and humid
22,11,YS Chahal,50,0,0,0,0,Trinidad,Away,0,0,0,7.8,Slow,West Indies,Hot and humid
23,1,S Dhawan,133,8,1,0,66.67,Southampton,Away,0,27,17,44.5,Batting,South Africa,Cold
24,2,RG Sharma,218,122,13,2,84.72,Southampton,Away,5,42,27,48.53,Batting,South Africa,Cold
25,3,V Kohli,239,18,1,0,52.94,Southampton,Away,1,54,43,60.31,Batting,South Africa,Cold
26,4,KL Rahul,23,26,2,0,61.9,Southampton,Away,1,4,2,43.32,Batting,South Africa,Cold
27,5,MS Dhoni,350,34,2,0,73.91,Southampton,Away,2,73,10,50.42,Batting,South Africa,Cold
28,6,H Pandya,54,15,3,0,214.29,Southampton,Away,1,4,0,34.53,Batting,South Africa,Cold
29,7,KM Jadhav,68,0,0,0,0,Southampton,Away,0,6,2,42.97,Batting,South Africa,Cold
30,8,B Kumar,114,0,0,0,0,Southampton,Away,0,1,0,14.22,Batting,South Africa,Cold
31,9,K Yadav,70,0,0,0,0,Southampton,Away,0,0,0,6.13,Batting,South Africa,Cold
32,10,YS Chahal,50,0,0,0,0,Southampton,Away,0,0,0,7.8,Batting,South Africa,Cold
33,11,J Bumrah,58,0,0,0,0,Southampton,Away,0,0,0,4.3,Batting,South Africa,Cold
34,1,S Dhawan,133,117,16,0,107.34,The Oval,Away,5,27,17,44.5,Bounce and Pace,Sri Lanka,Cold
35,2,RG Sharma,218,57,3,1,81.43,The Oval,Away,3,42,27,48.53,Bounce and Pace,Sri Lanka,Cold
36,3,V Kohli,239,82,4,2,106.49,The Oval,Away,4,54,43,60.31,Bounce and Pace,Sri Lanka,Cold
37,4,KL Rahul,23,11,1,1,366.67,The Oval,Away,1,4,2,43.32,Bounce and Pace,Sri Lanka,Cold
