Name,Matches Played,Wickets,Home Average,Away Average,Home Strike Rate,Away Strike Rate,Economy,Ground,Pitch,Total Wickets,Opponent,Weather,Home/Away
B Kumar,114,4,43.09,30.36,48.18,37.85,5.02,Trinidad,Slow,132,West Indies,Hot and humid,Away
M Shami,77,2,31.97,22.28,33.36,25.09,5.58,Trinidad,Slow,144,West Indies,Hot and humid,Away
KK Ahmed,11,1,24.43,36.75,27.43,36,5.81,Trinidad,Slow,15,West Indies,Hot and humid,Away
YS Chahal,51,1,29.64,25.5,33,30.68,5.08,Trinidad,Slow,88,West Indies,Hot and humid,Away
B Kumar,114,0,43.09,30.36,48.18,37.85,5.02,Trinidad,Slow,132,West Indies,Hot and humid,Away
M Shami,77,2,31.97,22.28,33.36,25.09,5.58,Trinidad,Slow,144,West Indies,Hot and humid,Away
KK Ahmed,11,3,24.43,36.75,27.43,36,5.81,Trinidad,Slow,15,West Indies,Hot and humid,Away
YS Chahal,51,1,29.64,25.5,33,30.68,5.08,Trinidad,Slow,88,West Indies,Hot and humid,Away
B Kumar,114,2,43.09,30.36,48.18,37.85,5.02,Southampton,Battng,132,South Africa,Cold,Away
K Yadav,60,2,31.97,22.28,33.36,25.09,5.11,Southampton,Battng,104,South Africa,Cold,Away
YS Chahal,51,3,24.43,36.75,27.43,36,5.08,Southampton,Battng,88,South Africa,Cold,Away
J Bumrah,63,1,29.64,25.5,33,30.68,4.54,Southampton,Battng,104,South Africa,Cold,Away
B Kumar,114,0,43.09,30.36,48.18,37.85,5.02,The Oval,Bounce and Pace,132,Sri Lanka,Cold,Away
M Shami,77,0,31.97,22.28,33.36,25.09,5.58,The Oval,Bounce and Pace,144,Sri Lanka,Cold,Away
KK Ahmed,11,0,24.43,36.75,27.43,36,5.81,The Oval,Bounce and Pace,15,Sri Lanka,Cold,Away
YS Chahal,51,0,29.64,25.5,33,30.68,5.08,The Oval,Bounce and Pace,88,Sri Lanka,Cold,Away
B Kumar,114,0,43.09,30.36,48.18,37.85,5.02,The Oval,Bounce and Pace,132,Sri Lanka,Cold,Away
M Shami,77,0,31.97,22.28,33.36,25.09,5.58,The Oval,Bounce and Pace,144,Sri Lanka,Cold,Away
KK Ahmed,11,0,24.43,36.75,27.43,36,5.81,The Oval,Bounce and Pace,15,Sri Lanka,Cold,Away
YS Chahal,51,2,29.64,25.5,33,30.68,5.08,The Oval,Bounce and Pace,88,Sri Lanka,Cold,Away
B Kumar,114,3,43.09,30.36,48.18,37.85,5.02,The Oval,Bounce and Pace,132,Sri Lanka,Cold,Away
